,Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Direction Notes,ADA NB,ADA SB,Capital Outage NB,Capital Outage SB
465,464,464,721,IRT,Flushing,VERNON BLVD-JACKSON AV,Q,7,Subway,40.742626,-73.953581,Flushing,Manhattan,0,,,,,
166,167,167,A32,IND,8th Av - Fulton St,W 4 ST-WASH SQ,M,A C E,Subway,40.732338,-74.000495,Uptown - Queens,Downtown & Brooklyn,1,,,,,
167,167,167,D20,IND,6th Av - Culver,W 4 ST-WASH SQ,M,B D F M,Subway,40.732338,-74.000495,Uptown - Queens,Downtown & Brooklyn,1,,,,,
56,57,57,D42,BMT,Broadway - Brighton,W 8 ST-NY AQUARIUM,Bk,F Q,Elevated,40.576127,-73.975939,Manhattan,Stillwell Av,0,,,,,
328,328,328,138,IRT,Broadway - 7Av,WTC CORTLANDT,M,1,Subway,40.711835,-74.012188,Uptown & The Bronx,Downtown,1,,,,,
416,416,416,201,IRT,Lenox - White Plains Rd,WAKEFIELD-241 ST,Bx,2,Elevated,40.903125,-73.85062,,Manhattan,0,,,,,
333,333,333,230,IRT,Clark St,WALL ST,M,2 3,Subway,40.706821,-74.0091,Uptown & The Bronx,Brooklyn,0,,,,,
413,413,413,419,IRT,Lexington Av,WALL ST,M,4 5,Subway,40.707557,-74.011862,Uptown & The Bronx,Downtown & Brooklyn,0,,,,,
427,427,427,214,IRT,Lenox - White Plains Rd,WEST FARMS SQ-E TREMONT AV,Bx,2 5,Elevated,40.840295,-73.880049,Wakefield - Eastchester,Manhattan,0,,,,,
363,363,363,604,IRT,Pelham,WESTCHESTER SQ-E TREMONT AV,Bx,6,Elevated,40.839892,-73.842952,Pelham Bay Park,Manhattan,0,,,,,
22,23,635,R27,BMT,Broadway,WHITEHALL ST-SOUTH FERRY,M,R W,Subway,40.703087,-74.012994,Uptown & Queens,Brooklyn,0,,,,,
370,370,370,612,IRT,Pelham,WHITLOCK AV,Bx,6,Elevated,40.826525,-73.886283,Pelham Bay Park,Manhattan,0,,,,,
129,130,130,L20,BMT,Canarsie,WILSON AV,Bk,L,Subway,40.688764,-73.904046,Manhattan,Canarsie - Rockaway Parkway,2,Manhattan-bound only,1.0,0.0,,
355,355,355,243,IRT,Nostrand,WINTHROP ST,Bk,2 5,Subway,40.656652,-73.9502,Manhattan,Flatbush,0,,,,,
264,264,264,G11,IND,Queens Blvd,WOODHAVEN BLVD,Q,M R,Subway,40.733106,-73.869229,Forest Hills,Manhattan,0,,,,,
82,83,83,J15,BMT,Jamaica,WOODHAVEN BLVD,Q,J Z,Elevated,40.693879,-73.851576,Jamaica,Manhattan,0,,,,,
378,378,378,401,IRT,Jerome Av,WOODLAWN,Bx,4,Elevated,40.886037,-73.878751,,Manhattan,0,,,,,
456,456,456,712,IRT,Flushing,WOODSIDE-61 ST,Q,7,Elevated,40.74563,-73.902984,Flushing,Manhattan,1,,,,,
171,171,624,E01,IND,8th Av - Fulton St,WORLD TRADE CENTER,M,E,Subway,40.712582,-74.009781,Uptown & Queens,,1,,,,,
235,235,235,F18,IND,6th Av - Culver,YORK ST,Bk,F,Subway,40.701397,-73.986751,Manhattan,Coney Island,0,,,,,
364,364,364,606,IRT,Pelham,ZEREGA AV,Bx,6,Elevated,40.836488,-73.847036,Pelham Bay Park,Manhattan,0,,,,,
