,STATION,UNIT
99,39 AV,R090
100,4 AV-9 ST,R258
101,40 ST LOWERY ST,R261
102,42 ST-BRYANT PK,R021
103,42 ST-PORT AUTH,R010
104,42 ST-PORT AUTH,R011
105,45 ST,R232
106,46 ST,R267
107,46 ST BLISS ST,R223
108,47-50 STS ROCK,R020
109,49 ST,R081
110,4AV-9 ST,R258
111,5 AV/53 ST,R015
112,5 AV/59 ST,R079
113,5 AVE,R054
114,50 ST,R188
115,50 ST,R116
116,50 ST,R234
117,51 ST,R049
118,52 ST,R327
119,53 ST,R233
120,55 ST,R247
121,57 ST,R302
122,57 ST-7 AV,R080
123,59 ST,R212
124,59 ST,R050
125,59 ST,R051
126,59 ST COLUMBUS,R084
127,6 AV,R163
128,61 ST WOODSIDE,R147
129,63 DR-REGO PARK,R202
130,65 ST,R340
131,66 ST-LINCOLN,R164
132,67 AV,R219
133,68ST-HUNTER CO,R177
134,69 ST,R347
135,7 AV,R288
136,7 AV,R113
137,7 AV,R171
138,71 ST,R370
139,72 ST,R452
140,72 ST,R281
141,72 ST-2 AVE,R570
142,74 ST-BROADWAY,R018
143,75 AV,R341
144,75 ST-ELDERTS,R004
145,77 ST,R214
146,77 ST,R178
147,79 ST,R166
148,79 ST,R371
149,8 AV,R175
150,8 AV,R390
151,8 ST-NYU,R085
152,80 ST,R383
153,81 ST-MUSEUM,R187
154,82 ST-JACKSON H,R096
155,85 ST-FOREST PK,R005
156,86 ST,R186
157,86 ST,R179
158,86 ST,R397
159,86 ST,R167
160,86 ST,R215
161,86 ST-2 AVE,R571
162,88 ST,R384
163,9 AV,R368
164,90 ST-ELMHURST,R122
165,96 ST,R251
166,96 ST,R168
167,96 ST,R144
168,96 ST-2 AVE,R572
169,9TH STREET,R547
170,ALABAMA AV,R433
171,ALLERTON AV,R362
172,AQUEDUCT N.COND,R357
173,AQUEDUCT RACETR,R464
174,ASTOR PL,R160
175,ASTORIA BLVD,R094
176,ASTORIA DITMARS,R095
177,ATL AV-BARCLAY,R057
178,ATLANTIC AV,R348
179,AVENUE H,R263
180,AVENUE I,R421
181,AVENUE J,R228
182,AVENUE M,R229
183,AVENUE N,R423
184,AVENUE P,R424
185,AVENUE U,R150
186,AVENUE U,R425
187,AVENUE U,R396
188,AVENUE X,R271
189,B'WAY-LAFAYETTE,R461
190,BAY 50 ST,R400
191,BAY PKWY,R374
192,BAY PKWY,R422
193,BAY PKWY,R394
194,BAY RIDGE AV,R213
195,BAY RIDGE-95 ST,R216
196,BAYCHESTER AV,R292
197,BEACH 105 ST,R418
198,BEACH 25 ST,R358
199,BEACH 36 ST,R338
200,BEACH 44 ST,R337
201,BEACH 60 ST,R336
202,BEACH 67 ST,R335
203,BEACH 90 ST,R416
204,BEACH 98 ST,R417
205,BEDFORD AV,R235
206,BEDFORD PK BLVD,R156
207,BEDFORD PK BLVD,R183
208,BEDFORD-NOSTRAN,R269
209,BERGEN ST,R058
210,BERGEN ST,R129
211,BEVERLEY ROAD,R262
212,BEVERLY RD,R210
213,BLEECKER ST,R194
214,BOROUGH HALL,R108
215,BOTANIC GARDEN,R412
216,BOWERY,R311
217,BOWLING GREEN,R041
218,BOWLING GREEN,R042
219,BRIARWOOD,R255
220,BRIGHTON BEACH,R172
221,BROAD CHANNEL,R415
222,BROAD ST,R125
223,BROADWAY,R299
224,BROADWAY,R092
225,BROADWAY JCT,R103
226,BRONX PARK EAST,R389
227,BROOK AV,R446
228,BROOKLYN BRIDGE,R044
229,BUHRE AV,R428
230,BURKE AV,R363
231,BURNSIDE AV,R244
232,BUSHWICK AV,R313
233,CANAL ST,R139
234,CANAL ST,R463
235,CANAL ST,R320
236,CANAL ST,R462
237,CANAL ST,R118
238,CANARSIE-ROCKAW,R152
239,CARROLL ST,R220
240,CASTLE HILL AV,R106
241,CATHEDRAL PKWY,R192
242,CATHEDRAL PKWY,R334
243,CENTRAL AV,R401
244,CENTRAL PK N110,R323
245,CHAMBERS ST,R044
246,CHAMBERS ST,R030
247,CHAMBERS ST,R029
248,CHAUNCEY ST,R432
249,CHRISTOPHER ST,R548
250,CHRISTOPHER ST,R189
251,CHURCH AV,R109
252,CHURCH AV,R098
253,CHURCH AV,R204
254,CITY / BUS,R550
255,CITY HALL,R087
256,CLARK ST,R224
257,CLASSON AV,R287
258,CLEVELAND ST,R435
259,CLINTON-WASH AV,R284
260,CLINTON-WASH AV,R317
261,CONEY IS-STILLW,R151
262,CORTELYOU RD,R184
263,CORTLANDT ST,R088
264,COURT SQ,R359
265,COURT SQ,R346
266,COURT SQ-23 ST,R359
267,CRESCENT ST,R437
268,CROWN HTS-UTICA,R062
269,CYPRESS AV,R447
270,CYPRESS HILLS,R003
271,DEKALB AV,R099
272,DEKALB AV,R236
273,DELANCEY/ESSEX,R142
274,DITMAS AV,R420
275,DYCKMAN ST,R036
276,DYCKMAN ST,R185
277,E 143/ST MARY'S,R448
278,E 149 ST,R449
279,E 180 ST,R388
280,EAST 105 ST,R376
281,EAST BROADWAY,R257
282,EASTCHSTER/DYRE,R431
283,EASTN PKWY-MUSM,R060
284,ELDER AV,R162
285,ELMHURST AV,R218
286,EUCLID AV,R200
287,EXCHANGE PLACE,R543
288,FAR ROCKAWAY,R285
289,FLATBUSH AV-B.C,R110
290,FLUSHING AV,R316
291,FLUSHING AV,R377
292,FLUSHING-MAIN,R055
293,FORDHAM RD,R119
294,FORDHAM RD,R112
295,FOREST AVE,R403
