Employment_est,GEO_ID,NAME
1955,1400000US36005022401,"Census Tract 224.01, Bronx County, New York"
2413,1400000US36005022403,"Census Tract 224.03, Bronx County, New York"
3780,1400000US36005022404,"Census Tract 224.04, Bronx County, New York"
6375,1400000US36005022500,"Census Tract 225, Bronx County, New York"
3644,1400000US36005022701,"Census Tract 227.01, Bronx County, New York"
1268,1400000US36005022702,"Census Tract 227.02, Bronx County, New York"
1258,1400000US36005022703,"Census Tract 227.03, Bronx County, New York"
4943,1400000US36005022800,"Census Tract 228, Bronx County, New York"
3957,1400000US36005022901,"Census Tract 229.01, Bronx County, New York"
2419,1400000US36005022902,"Census Tract 229.02, Bronx County, New York"
2078,1400000US36005023000,"Census Tract 230, Bronx County, New York"
1226,1400000US36005023100,"Census Tract 231, Bronx County, New York"
1770,1400000US36005023200,"Census Tract 232, Bronx County, New York"
3126,1400000US36005023301,"Census Tract 233.01, Bronx County, New York"
2491,1400000US36005023302,"Census Tract 233.02, Bronx County, New York"
2393,1400000US36005023501,"Census Tract 235.01, Bronx County, New York"
3202,1400000US36005023502,"Census Tract 235.02, Bronx County, New York"
1181,1400000US36005023600,"Census Tract 236, Bronx County, New York"
969,1400000US36005023702,"Census Tract 237.02, Bronx County, New York"
4039,1400000US36005023703,"Census Tract 237.03, Bronx County, New York"
2779,1400000US36005023704,"Census Tract 237.04, Bronx County, New York"
1824,1400000US36005023800,"Census Tract 238, Bronx County, New York"
5805,1400000US36005023900,"Census Tract 239, Bronx County, New York"
3179,1400000US36005024000,"Census Tract 240, Bronx County, New York"
4990,1400000US36005024100,"Census Tract 241, Bronx County, New York"
4089,1400000US36005024300,"Census Tract 243, Bronx County, New York"
1754,1400000US36005024400,"Census Tract 244, Bronx County, New York"
3534,1400000US36005024501,"Census Tract 245.01, Bronx County, New York"
2706,1400000US36005024502,"Census Tract 245.02, Bronx County, New York"
1702,1400000US36005024600,"Census Tract 246, Bronx County, New York"
1569,1400000US36005024700,"Census Tract 247, Bronx County, New York"
2829,1400000US36005024800,"Census Tract 248, Bronx County, New York"
0,1400000US36005024900,"Census Tract 249, Bronx County, New York"
2082,1400000US36005025000,"Census Tract 250, Bronx County, New York"
5341,1400000US36005025100,"Census Tract 251, Bronx County, New York"
2121,1400000US36005025200,"Census Tract 252, Bronx County, New York"
4343,1400000US36005025300,"Census Tract 253, Bronx County, New York"
1533,1400000US36005025400,"Census Tract 254, Bronx County, New York"
5899,1400000US36005025500,"Census Tract 255, Bronx County, New York"
1260,1400000US36005025600,"Census Tract 256, Bronx County, New York"
