,complex_id,Stop Name,Complex_id,cs_ibx_peak,cs_ibx_offpeak,cs_noibx_peak,cs_noibx_offpeak
102,336,HOYT ST,233,0.0199144633011385,0.0121388846246377,0.0198568582713347,0.0121222547523936
103,337,NEVINS ST,234,0.0206115952907708,0.0128361940170868,0.0205446465143577,0.0128274125125323
104,339,BERGEN ST,236,0.0194210716633472,0.0119225172189421,0.0193128861179927,0.0118871716958927
105,340,GRAND ARMY PLAZA,237,0.0190811573133875,0.0117498010056507,0.0189287543074963,0.0116999500954484
106,341,EASTERN PKWY-BROOKLYN MUSEUM,238,0.0188160937453233,0.011595218153769,0.0186116029723797,0.0115322939236661
107,353,PRESIDENT STREET-MEDGAR EVERS COLLEGE,241,0.0180500999983709,0.0115038334193495,0.0178374937494899,0.0114281239558885
108,354,STERLING ST,242,0.0176783522714634,0.0113423816664049,0.0174146164821452,0.0112531417702571
109,355,WINTHROP ST,243,0.017274600831246,0.0111569683277111,0.0169369643723111,0.0110516192700902
110,356,CHURCH AV,244,0.017015385428587,0.0109899094021143,0.0165050890162171,0.0108656437299175
111,357,BEVERLY RD,245,0.016816324813932,0.0108308141763586,0.0160971511466703,0.0106869013446585
112,358,NEWKIRK AV - LITTLE HAITI,246,0.016661928839956,0.010694258407772,0.0157488108376738,0.0105319669963717
113,343,NOSTRAND AV,248,0.0181885009763712,0.0111036378224231,0.0179485083904825,0.0110494789758764
114,344,KINGSTON AV,249,0.0179031171022526,0.0109320187890047,0.0175806581555541,0.0108651082821374
115,345,CROWN HTS-UTICA AV,250,0.0179921270432079,0.0111524706412499,0.0176161606612874,0.0110745388226118
116,346,SUTTER AV-RUTLAND RD,251,0.0172949112555669,0.0105740706683975,0.016763063104713,0.0104715568649562
117,347,SARATOGA AV,252,0.0171153039796882,0.0104749539300913,0.0165026744925275,0.010353794109428
118,348,ROCKAWAY AV,253,0.0169535277495273,0.0103887982716985,0.0162584434529752,0.0102419019823023
119,350,PENNSYLVANIA AV,255,0.0164085060674921,0.0101552048166828,0.0156597906208721,0.0099872687403051
120,351,VAN SICLEN AV,256,0.0161045446938761,0.010037948951596,0.0153827315293229,0.0098738496291457
121,352,NEW LOTS AV,257,0.0158204601102526,0.0099268432737015,0.0151233495242885,0.0097663328064767
122,436,HARLEM-148 ST,301,0.0154255227688282,0.0098707975672074,0.0155294644330559,0.0099183211692419
123,437,145 ST,302,0.0156516265937238,0.0099628947461471,0.0157586366395807,0.0100113067832816
124,378,WOODLAWN,401,0.0129711709750132,0.008872572196894,0.0130526679433353,0.0089352185915862
125,379,MOSHOLU PKWY,402,0.0133087573923631,0.0090292360564488,0.0133945481167713,0.0090941142931
126,380,BEDFORD PARK BLVD-LEHMAN COLLEGE,405,0.0136553569982278,0.0091874458253109,0.0137456498132176,0.0092546080051289
127,381,KINGSBRIDGE RD,406,0.0140324385679835,0.009356611595802,0.0141277372120364,0.0094262492995469
128,382,FORDHAM RD,407,0.0143230087402364,0.0094849142482816,0.0144222391419668,0.0095564515310481
129,383,183 ST,408,0.0145790297154938,0.009596513051338,0.0146817744555635,0.0096697165027527
