,closeness_centrality
710-7-S,0.01991307578797283
711,0.01823025482226448
711-7-S,0.020013719431097414
712,0.018371385839608616
712-7-S,0.02018394379274605
713,0.018625465169246694
713-7-S,0.020491052776091204
714,0.01880739930524183
714-7-S,0.020711475513345016
715,0.01900589852655126
715-7-S,0.020952460779267674
716,0.019286401172832774
716-7-S,0.02129388205186027
718,0.019879245542423492
718-7-S,0.022018889015308588
719-7-S,0.022492763895069674
720,0.02060161267740894
720-7-S,0.022908608869325518
721,0.020828642667667745
721-7-S,0.02318968141844771
723-7-S,0.024998671594899605
724-7-S,0.02528812053891608
725-7-S,0.0252501691443834
726,0.021214209051852062
726-7-S,0.023668622362073708
901-S-S,0.02336488530242724
902-S-S,0.023730623797030267
A02,0.014760043329943797
A02-A-S,0.015880174776340246
A03,0.015084031137802927
A03-A-S,0.016255831504193335
A05,0.015543727534116343
A05-A-S,0.016790993866784485
A06,0.01600331073280982
A06-A-S,0.017328568397195626
A07,0.016277691915960842
A07-A-S,0.01765073266065956
A09-A-S,0.018149455427184557
A09-C-S,0.01804695406738801
A10,0.016854987859554606
A10-C-S,0.018338246049970336
A11,0.017205139367119378
A11-C-S,0.018753495933513005
A12-A-S,0.01935183085979469
A12-C-S,0.019260549960117057
A14,0.019373320457927324
A14-B-S,0.020606503644914925
A14-C-S,0.019823885762237686
A15,0.02021807141239221
A15-A-S,0.02038905479663293
A15-B-S,0.02110282656099657
A15-C-S,0.020357626961438932
A15-D-S,0.02028893425442298
A16,0.0201356841618952
A16-B-S,0.021475771613337604
A16-C-S,0.02070232244901838
A17,0.020438028256786714
A17-B-S,0.021816395417362855
A17-C-S,0.0210436198708152
A18,0.02075278166073362
A18-B-S,0.02217082759512889
A18-C-S,0.02143820318889999
A19,0.02107288489221224
A19-B-S,0.022532682502199194
A19-C-S,0.021865021780130306
A20,0.021507205542117512
A20-B-S,0.023024298411996696
A20-C-S,0.022444647987037974
A21,0.021857317177954784
A21-B-S,0.023427757057851693
A21-C-S,0.02290966925728272
A22,0.02241549216625695
A22-B-S,0.02404317541389836
A22-C-S,0.023598324808609555
A24-A-S,0.02447785329267795
A24-B-S,0.024966104137657874
A24-C-S,0.024608901241358533
A24-D-S,0.024314142476014117
A25,0.02344534380518492
A25-C-S,0.025087276392777177
A25-E-S,0.025392830506899014
A27-A-S,0.025640146276557765
A27-C-S,0.0255357019465592
A27-E-S,0.02564464307006659
A28,0.023870492341945812
A28-A-S,0.025560133800109
A28-C-S,0.02544965617412751
A28-E-S,0.025453308411826765
A30,0.023384084060326268
A30-C-S,0.025379377544594007
A30-E-S,0.025297672671474983
A31-A-S,0.025494800442496243
A31-C-S,0.02538105975317783
A31-E-S,0.025189392270817044
A32-A-S,0.025582690329197966
A32-C-S,0.025462139857950497
A32-E-S,0.025053826382789156
A33,0.02308666686082307
A33-C-S,0.02524437823906078
A33-E-S,0.024548381111947154
A34,0.023376546257892858
A34-A-S,0.02529796902978008
A34-C-S,0.025166256543609676
A34-E-S,0.024114557051872845
A36-A-S,0.025285609914299567
A36-C-S,0.025157334906995718
A38-A-S,0.025298876821455686
A38-C-S,0.025169963186001797
A40,0.02212707641618983
A40-A-S,0.024417620424344755
A40-C-S,0.024279436829322588
A41-A-S,0.0241849506855775
A41-C-S,0.024051736063047568
A41-F-S,0.02430905749485028
A42,0.022141839760214416
A42-A-S,0.023824988083596843
A42-C-S,0.023719954405900915
A42-G-S,0.021372068290382823
A43,0.020809732820200634
A43-C-S,0.023118354262253317
A44,0.02045450263945468
A44-C-S,0.022680759337278818
A45-C-S,0.02226572919887701
A46,0.020144960051080733
A46-A-S,0.021700306384755272
A46-C-S,0.021871456615891908
A47,0.019424205368110094
A47-C-S,0.02142088015852912
A48,0.01936005516934822
